Date,Time,Group nr.,Total,Lying ad.m,Lying ad.f,Lying y,Lying us,Feed ad.m,Feed ad.f,Feed y,Feed us,Other ad.m,Other ad.f,Other y,Other us,,,,,,,
26-Mar,04:00,1,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,04:00,2,5,1,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:00,3,4,0,2,1,0,0,0,0,0,0,1,0,0,,,,,,,
26-Mar,04:10,1,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,04:10,2,5,1,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:10,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:10,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:20,1,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,04:20,2,5,1,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:20,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:20,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:30,1,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,04:30,2,5,1,2,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,04:30,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:30,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:40,1,2,0,0,0,0,0,2,0,0,0,0,0,0,,,,,,,
26-Mar,04:40,2,5,0,1,0,0,0,1,1,0,1,1,0,0,,,,,,,
26-Mar,04:40,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:40,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:50,1,2,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,04:50,2,5,0,0,0,0,1,3,1,0,0,0,0,0,,,,,,,
26-Mar,04:50,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,04:50,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:00,1,2,0,1,0,0,0,0,0,0,0,1,0,0,,,,,,,
26-Mar,05:00,2,5,0,0,0,0,1,3,1,0,0,0,0,0,,,,,,,
26-Mar,05:00,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:00,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:10,1,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:10,2,5,0,0,0,0,1,3,1,0,0,0,0,0,,,,,,,
26-Mar,05:10,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:10,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:20,1,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:20,2,5,0,0,0,0,1,3,1,0,0,0,0,0,,,,,,,
26-Mar,05:20,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:20,4,2,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:30,1,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:30,2,5,0,0,0,0,1,3,1,0,0,0,0,0,,,,,,,
26-Mar,05:30,3,4,0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,05:30,4,2,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,
25-Mar,05:30,1,5,0,0,0,0,,5,0,0,0,0,0,0,,,,,,,
25-Mar,05:30,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,05:30,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,05:30,4,3,0,0,0,0,0,0,0,2,0,0,0,1,,,,,,,
25-Mar,05:40,1,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
25-Mar,05:40,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,05:40,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,05:40,4,3,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,
25-Mar,05:50,1,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
25-Mar,05:50,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,05:50,4,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,
25-Mar,06:00,1,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
25-Mar,06:00,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,06:10,1,5,0,0,0,0,0,3,0,0,0,2,0,0,,,,,,,
25-Mar,06:10,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,06:10,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,06:20,1,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
25-Mar,06:20,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,06:20,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,06:30,1,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
25-Mar,06:30,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,06:30,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,06:40,1,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
25-Mar,06:40,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,06:40,3,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,
25-Mar,06:50,1,5,0,2,0,0,0,3,0,0,0,0,0,0,,,,,,,
25-Mar,06:50,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,06:50,3,2,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,,
25-Mar,07:00,1,5,0,3,0,0,0,2,0,0,0,0,0,0,,,,,,,
25-Mar,07:00,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,07:00,3,2,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,,
25-Mar,07:10,1,5,0,5,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:10,2,3,0,0,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,07:10,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:10,4,5,0,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
25-Mar,07:20,2,8,0,5,0,0,1,1,1,0,0,0,0,0,,,,,,,
25-Mar,07:20,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:20,4,5,0,1,0,0,0,4,0,0,0,0,0,0,,,,,,,
25-Mar,07:20,5,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
25-Mar,07:30,2,8,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:30,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:30,4,4,0,1,0,0,0,3,0,0,0,0,0,0,,,,,,,
25-Mar,07:30,5,6,0,0,0,0,0,0,0,6,0,0,0,0,,,,,,,
25-Mar,07:40,2,8,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:40,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:40,4,4,0,0,0,0,0,3,0,0,0,1,0,0,,,,,,,
25-Mar,07:40,5,5,0,0,0,0,0,0,0,5,0,0,0,0,,,,,,,
25-Mar,07:40,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:50,2,8,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:50,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,07:50,4,4,0,0,0,0,0,2,0,0,0,2,0,0,,,,,,,
25-Mar,07:50,5,6,0,1,0,0,0,3,0,0,1,1,0,0,,,,,,,
25-Mar,07:50,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:00,2,8,1,2,1,0,0,0,0,0,0,4,0,0,,,,,,,
25-Mar,08:00,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:00,4,4,0,0,0,0,0,4,0,0,0,0,0,0,,,,,,,
25-Mar,08:00,5,6,0,0,0,0,0,2,0,0,1,3,0,0,,,,,,,
25-Mar,08:00,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:10,2,8,1,5,1,0,0,1,0,0,0,0,0,0,,,,,,,
25-Mar,08:10,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:10,4,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
25-Mar,08:10,5,6,1,1,0,0,0,4,0,0,0,0,0,0,,,,,,,
25-Mar,08:10,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:20,2,8,1,4,1,0,0,2,0,0,0,0,0,0,,,,,,,
25-Mar,08:20,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:20,4,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
25-Mar,08:20,5,6,0,1,0,0,0,3,0,0,1,1,0,0,,,,,,,
25-Mar,08:20,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:20,7,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:30,2,8,0,5,1,0,0,1,0,0,1,0,0,0,,,,,,,
25-Mar,08:30,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:30,4,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
25-Mar,08:30,5,6,1,5,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:30,6,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:30,7,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:30,8,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
25-Mar,08:50,2,8,1,6,0,0,0,0,1,0,0,0,0,0,,,,,,,
25-Mar,08:50,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:50,7,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,08:50,8,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
25-Mar,09:00,2,8,1,6,0,0,0,0,1,0,0,0,0,0,,,,,,,
25-Mar,09:00,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:00,7,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:00,8,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
25-Mar,09:10,2,8,1,6,0,0,0,0,1,0,0,0,0,0,,,,,,,
25-Mar,09:10,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:10,7,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:10,8,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
25-Mar,09:20,2,8,1,6,0,0,0,0,1,0,0,0,0,0,,,,,,,
25-Mar,09:20,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:20,7,3,0,2,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:20,8,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
25-Mar,09:30,2,8,1,6,0,0,0,0,1,0,0,0,0,0,,,,,,,
25-Mar,09:30,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:30,7,3,0,2,0,0,0,0,1,0,0,0,0,0,,,,,,,
25-Mar,09:30,8,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
25-Mar,09:40,1,4,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:40,2,4,0,0,0,0,1,2,1,0,0,0,0,0,,,,,,,
25-Mar,09:40,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:40,7,3,0,2,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:40,8,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:50,1,4,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:50,2,4,0,0,0,0,1,2,1,0,0,0,0,0,,,,,,,
25-Mar,09:50,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:50,7,3,0,2,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,09:50,8,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:00,1,4,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:00,2,4,0,0,0,0,1,2,1,0,0,0,0,0,,,,,,,
25-Mar,10:00,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:00,7,4,0,0,0,0,0,3,1,0,0,0,0,0,,,,,,,
25-Mar,10:00,8,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:10,1,4,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:10,2,4,0,0,0,0,1,2,1,0,0,0,0,0,,,,,,,
25-Mar,10:10,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:10,7,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,
25-Mar,10:10,8,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:20,1,4,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:20,2,4,0,0,0,0,1,2,1,0,0,0,0,0,,,,,,,
25-Mar,10:20,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:20,8,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:30,1,4,0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:30,2,4,0,0,0,0,1,2,1,0,0,0,0,0,,,,,,,
25-Mar,10:30,3,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,
25-Mar,10:30,8,2,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,10:40,2,6,1,5,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,10:50,2,6,1,5,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,10:50,3,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,10:50,4,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,11:00,2,6,1,5,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,11:00,3,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,11:00,4,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,11:00,5,4,0,0,0,0,0,4,0,0,0,0,0,0,,,,,,,
26-Mar,11:00,6,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,11:10,2,6,1,5,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,11:10,3,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,11:10,4,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,11:10,5,7,0,0,0,0,0,6,0,0,0,1,0,0,,,,,,,
26-Mar,11:10,6,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,11:20,2,6,1,4,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,11:20,3,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,11:20,4,2,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,11:20,5,8,0,0,0,0,1,5,1,0,0,1,0,0,,,,,,,
26-Mar,11:20,6,2,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,11:30,2,6,1,1,0,0,0,2,0,0,0,2,0,0,,,,,,,
26-Mar,11:30,3,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,11:30,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
26-Mar,11:30,5,8,0,0,0,0,0,7,0,0,0,1,0,0,,,,,,,
26-Mar,11:30,6,2,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,
26-Mar,11:40,2,6,1,0,0,0,0,5,0,0,0,0,0,0,,,,,,,
26-Mar,11:40,3,2,0,0,0,0,0,1,1,0,0,0,0,0,,,,,,,
26-Mar,11:40,4,2,0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,
